expense_id,date,department_id,category,actual_amount,description
E001,2026-06-05,D001,市场推广费,48000,六月广告投放
E002,2026-06-10,D001,差旅费,9000,客户拜访差旅
E003,2026-06-15,D001,软件服务费,7000,设计软件订阅
E004,2026-06-08,D002,研发材料费,55000,研发测试材料
E005,2026-06-12,D002,软件服务费,22000,云服务费用
E006,2026-06-20,D002,差旅费,8000,技术交流差旅
E007,2026-07-02,D001,市场推广费,30000,搜索广告投放
E008,2026-07-18,D001,市场推广费,26000,信息流广告投放
E009,2026-07-06,D001,差旅费,7000,华东地区客户拜访
E010,2026-07-23,D001,差旅费,4500,华南地区客户拜访
E011,2026-07-10,D001,软件服务费,7800,设计软件订阅
E012,2026-07-04,D002,研发材料费,40000,样机材料采购
E013,2026-07-21,D002,研发材料费,22000,测试材料采购
E014,2026-07-13,D002,软件服务费,24000,云服务费用
E015,2026-07-25,D002,差旅费,9000,技术交流差旅
